ds,y,yhat,yhat_lower,yhat_upper
2025-12-15,176.28045654296875,186.3943519848833,175.2209976332682,195.05356747081234
2025-12-16,177.71038818359375,186.4158457880133,177.6651786169456,194.4090832324061
2025-12-17,170.93075561523438,186.51179293477605,178.96082933472613,197.6103776353841
2025-12-18,174.1305694580078,186.66410882835743,176.4096205868177,193.64286317308662
2025-12-19,180.98020935058597,186.70045171858195,177.84943170540274,196.47315707529805
2025-12-22,183.6800537109375,187.00948947375127,178.83407773075882,195.8609258668108
2025-12-23,189.19976806640625,187.04373425254383,180.0666500851637,194.90234273842793
2025-12-24,188.59979248046875,187.15437246073662,177.46615522115945,197.12962017287174
2025-12-26,190.51968383789065,187.37805003604598,177.54071128336227,195.8414232921642
2025-12-29,188.20980834960935,187.74959436860044,179.49849598572658,197.85367872150925
2025-12-30,187.52984619140625,187.80546865099512,178.1482765867632,195.23901622829777
2025-12-31,186.4899139404297,187.93712713966553,179.01725914779632,195.9145349253192
2026-01-02,188.83978271484372,188.1983781461667,180.84006107679744,195.30075941386957
2026-01-05,188.1098175048828,188.60590265965166,178.4886598055197,198.8544300682803
2026-01-06,187.22987365722656,188.66638225026313,180.1449696469281,196.65136260997258
2026-01-07,189.09976196289065,188.7984662643369,180.3806401156405,196.41450595380064
2026-01-08,185.0299835205078,188.98332362099262,180.68593536334618,197.394724434388
2026-01-09,184.84999084472656,189.0478942022528,181.42073559227566,194.91461768020358
2026-01-12,184.92999267578125,189.40984310708424,179.64130921070648,198.80754681437017
2026-01-13,185.7999420166016,189.44987341289308,179.4769045578909,199.29320919572947
2026-01-14,183.1300811767578,189.56020763483093,181.0361532452289,197.95267383246176
2026-01-15,187.03988647460935,189.72298358935274,182.50477279385356,197.36082481995535
2026-01-16,186.21990966796875,189.7661867474152,180.63481259319903,198.52037093966038
2026-01-20,178.06036376953125,190.11154596247366,181.1798554804978,198.177557401512
2026-01-21,183.31008911132807,190.22005560043613,181.23927357805442,198.37428282024734
2026-01-22,184.8299865722656,190.38765811514722,182.12534140469918,198.066088104075
2026-01-23,187.6598358154297,190.44293903684508,182.30755578986643,198.7400662918998
2026-01-26,186.4599151611328,190.83867155313123,182.02680188774448,199.27526220585636
2026-01-27,188.50979614257807,190.91389327106089,182.42613337066217,200.78440562236213
2026-01-28,191.5096435546875,191.07229323196188,182.43823646789818,199.58282552935364
2026-01-29,192.49957275390625,191.29601355120502,180.88236720109597,198.11070849467694
2026-01-30,191.11965942382807,191.4126531853967,183.75818375976525,199.55272484464712
2026-02-02,185.59996032714844,192.01117721961543,182.01981451558697,200.81259252752773
2026-02-03,180.33023071289065,192.15525733843702,184.2384057034361,202.02511112070889
2026-02-04,174.18057250976562,192.38042621979116,182.58382959254973,200.63286601532542
2026-02-05,171.87069702148438,192.66714751943533,182.86289075560993,200.40621395611396
2026-02-06,185.39996337890625,192.8413769618472,185.16517917205832,202.2469476678032
2026-02-09,190.0297088623047,193.5653008213545,185.19301840657064,202.19941243291726
2026-02-10,188.52978515625,193.73124866808672,184.89420513045835,203.95622564219298
2026-02-11,190.0397186279297,193.96680065592636,183.87695692298266,202.17048134079022
2026-02-12,186.9298858642578,194.25190986458512,184.36909232853114,203.8489288977342
2026-02-13,182.80010986328125,194.41232171890425,184.3978173617976,202.42376965038707
2026-02-17,184.95999145507807,195.1316648146105,186.61815083720816,203.42484634589053
2026-02-18,187.9698181152344,195.30015713062218,187.24681110737546,204.4980690419349
2026-02-19,187.88983154296875,195.51116609700583,186.0921729051611,206.62477419042355
2026-02-20,189.8097381591797,195.59220536882495,187.92980970244398,204.10456248784624
2026-02-23,191.5396423339844,195.95415000835655,186.23520471697768,205.02467627992792
2026-02-24,192.83956909179688,195.98136920074413,187.0701551264005,204.5466181325239
2026-02-25,195.5494079589844,196.07457189139137,188.62782333402956,204.06938187233467
2026-02-26,184.87998962402344,196.21721502165843,186.09468066547993,206.30247510322582
2026-02-27,177.180419921875,196.2385909793506,187.91682473627588,204.80032483030755
2026-03-02,182.4701232910156,196.48803370981526,189.10128924995809,204.91823656169353
